"irlncRNA"	"pathway"	"cancer_names"	"norm_cancer_count"
"TTTY7"	"Antigen_Processing_and_Presentation"	"0"	"0"
"TTTY7"	"Antimicrobials"	"0"	"0"
"TTTY7"	"BCRSignalingPathway"	"0"	"0"
"TTTY7"	"Chemokines"	"BRCA,LUSC"	"0.666666666666667"
"TTTY7"	"Chemokine_Receptors"	"0"	"0"
"TTTY7"	"Cytokines"	"BRCA,LUSC"	"0.666666666666667"
"TTTY7"	"Cytokine_Receptors"	"0"	"0"
"TTTY7"	"Interferons"	"0"	"0"
"TTTY7"	"Interferon_Receptor"	"0"	"0"
"TTTY7"	"Interleukins"	"0"	"0"
"TTTY7"	"Interleukins_Receptor"	"0"	"0"
"TTTY7"	"NaturalKiller_Cell_Cytotoxicity"	"0"	"0"
"TTTY7"	"TCRsignalingPathway"	"0"	"0"
"TTTY7"	"TGFb_Family_Member"	"0"	"0"
"TTTY7"	"TGFb_Family_Member_Receptor"	"0"	"0"
"TTTY7"	"TNF_Family_Members"	"0"	"0"
"TTTY7"	"TNF_Family_Members_Receptors"	"0"	"0"
"LINC00917"	"Antigen_Processing_and_Presentation"	"0"	"0"
"LINC00917"	"Antimicrobials"	"0"	"0"
"LINC00917"	"BCRSignalingPathway"	"0"	"0"
"LINC00917"	"Chemokines"	"0"	"0"
"LINC00917"	"Chemokine_Receptors"	"BRCA"	"0.333333333333333"
"LINC00917"	"Cytokines"	"0"	"0"
"LINC00917"	"Cytokine_Receptors"	"0"	"0"
"LINC00917"	"Interferons"	"0"	"0"
"LINC00917"	"Interferon_Receptor"	"0"	"0"
"LINC00917"	"Interleukins"	"0"	"0"
"LINC00917"	"Interleukins_Receptor"	"0"	"0"
"LINC00917"	"NaturalKiller_Cell_Cytotoxicity"	"0"	"0"
"LINC00917"	"TCRsignalingPathway"	"0"	"0"
"LINC00917"	"TGFb_Family_Member"	"0"	"0"
"LINC00917"	"TGFb_Family_Member_Receptor"	"0"	"0"
"LINC00917"	"TNF_Family_Members"	"0"	"0"
"LINC00917"	"TNF_Family_Members_Receptors"	"0"	"0"
"C22orf24"	"Antigen_Processing_and_Presentation"	"PRAD"	"0.333333333333333"
"C22orf24"	"Antimicrobials"	"0"	"0"
"C22orf24"	"BCRSignalingPathway"	"0"	"0"
"C22orf24"	"Chemokines"	"GBM"	"0.333333333333333"
"C22orf24"	"Chemokine_Receptors"	"0"	"0"
"C22orf24"	"Cytokines"	"GBM"	"0.333333333333333"
"C22orf24"	"Cytokine_Receptors"	"0"	"0"
"C22orf24"	"Interferons"	"0"	"0"
"C22orf24"	"Interferon_Receptor"	"0"	"0"
"C22orf24"	"Interleukins"	"0"	"0"
"C22orf24"	"Interleukins_Receptor"	"0"	"0"
"C22orf24"	"NaturalKiller_Cell_Cytotoxicity"	"0"	"0"
"C22orf24"	"TCRsignalingPathway"	"0"	"0"
"C22orf24"	"TGFb_Family_Member"	"0"	"0"
"C22orf24"	"TGFb_Family_Member_Receptor"	"0"	"0"
"C22orf24"	"TNF_Family_Members"	"0"	"0"
"C22orf24"	"TNF_Family_Members_Receptors"	"0"	"0"
"ERVK3-1"	"Antigen_Processing_and_Presentation"	"0"	"0"
"ERVK3-1"	"Antimicrobials"	"GBM"	"0.333333333333333"
"ERVK3-1"	"BCRSignalingPathway"	"0"	"0"
"ERVK3-1"	"Chemokines"	"0"	"0"
"ERVK3-1"	"Chemokine_Receptors"	"CHOL"	"0.333333333333333"
"ERVK3-1"	"Cytokines"	"0"	"0"
"ERVK3-1"	"Cytokine_Receptors"	"0"	"0"
"ERVK3-1"	"Interferons"	"0"	"0"
"ERVK3-1"	"Interferon_Receptor"	"0"	"0"
"ERVK3-1"	"Interleukins"	"0"	"0"
"ERVK3-1"	"Interleukins_Receptor"	"0"	"0"
"ERVK3-1"	"NaturalKiller_Cell_Cytotoxicity"	"0"	"0"
"ERVK3-1"	"TCRsignalingPathway"	"0"	"0"
"ERVK3-1"	"TGFb_Family_Member"	"0"	"0"
"ERVK3-1"	"TGFb_Family_Member_Receptor"	"0"	"0"
"ERVK3-1"	"TNF_Family_Members"	"0"	"0"
"ERVK3-1"	"TNF_Family_Members_Receptors"	"0"	"0"
"LINC01558"	"Antigen_Processing_and_Presentation"	"0"	"0"
"LINC01558"	"Antimicrobials"	"0"	"0"
"LINC01558"	"BCRSignalingPathway"	"0"	"0"
"LINC01558"	"Chemokines"	"PCPG"	"0.333333333333333"
"LINC01558"	"Chemokine_Receptors"	"GBM"	"0.333333333333333"
"LINC01558"	"Cytokines"	"PCPG"	"0.333333333333333"
"LINC01558"	"Cytokine_Receptors"	"0"	"0"
"LINC01558"	"Interferons"	"0"	"0"
"LINC01558"	"Interferon_Receptor"	"0"	"0"
"LINC01558"	"Interleukins"	"0"	"0"
"LINC01558"	"Interleukins_Receptor"	"0"	"0"
"LINC01558"	"NaturalKiller_Cell_Cytotoxicity"	"0"	"0"
"LINC01558"	"TCRsignalingPathway"	"0"	"0"
"LINC01558"	"TGFb_Family_Member"	"0"	"0"
"LINC01558"	"TGFb_Family_Member_Receptor"	"0"	"0"
"LINC01558"	"TNF_Family_Members"	"0"	"0"
"LINC01558"	"TNF_Family_Members_Receptors"	"0"	"0"
"AC104389.28"	"Antigen_Processing_and_Presentation"	"GBM,KIRP"	"0.666666666666667"
"AC104389.28"	"Antimicrobials"	"0"	"0"
"AC104389.28"	"BCRSignalingPathway"	"0"	"0"
"AC104389.28"	"Chemokines"	"0"	"0"
"AC104389.28"	"Chemokine_Receptors"	"0"	"0"
"AC104389.28"	"Cytokines"	"0"	"0"
"AC104389.28"	"Cytokine_Receptors"	"0"	"0"
"AC104389.28"	"Interferons"	"0"	"0"
"AC104389.28"	"Interferon_Receptor"	"0"	"0"
"AC104389.28"	"Interleukins"	"0"	"0"
"AC104389.28"	"Interleukins_Receptor"	"0"	"0"
"AC104389.28"	"NaturalKiller_Cell_Cytotoxicity"	"0"	"0"
"AC104389.28"	"TCRsignalingPathway"	"0"	"0"
"AC104389.28"	"TGFb_Family_Member"	"0"	"0"
"AC104389.28"	"TGFb_Family_Member_Receptor"	"0"	"0"
"AC104389.28"	"TNF_Family_Members"	"0"	"0"
"AC104389.28"	"TNF_Family_Members_Receptors"	"0"	"0"
"RP11-404O13.5"	"Antigen_Processing_and_Presentation"	"0"	"0"
"RP11-404O13.5"	"Antimicrobials"	"0"	"0"
"RP11-404O13.5"	"BCRSignalingPathway"	"0"	"0"
"RP11-404O13.5"	"Chemokines"	"GBM"	"0.333333333333333"
